"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"108","tt0067080","Sun Jan 15 18:27:29 2012","Sun Jan 15 18:27:29 2012","","The Failing of Raymond","TV Movie","Boris Sagal","7.2","73","1971","drama, thriller","30","1971-11-27","http://www.imdb.com/title/tt0067080/"
"109","tt0066991","Sun Jan 15 18:27:42 2012","Sun Jan 15 18:27:42 2012","","The Devil and Miss Sarah","TV Movie","Michael Caffey","5.7","90","1971","horror, western","29","1971-12-04","http://www.imdb.com/title/tt0066991/"
"110","tt0068561","Sun Jan 15 18:27:56 2012","Sun Jan 15 18:27:56 2012","","The Eyes of Charles Sand","TV Movie","Reza Badiyi","6.1","75","1972","thriller","111","1972-02-29","http://www.imdb.com/title/tt0068561/"
"111","tt0068875","Sun Jan 15 18:28:06 2012","Sun Jan 15 18:28:06 2012","","The Longest Night","TV Movie","Jack Smight","7.5","74","1972","drama","96","1972-09-12","http://www.imdb.com/title/tt0068875/"
"112","tt0069003","Sun Jan 15 18:28:20 2012","Sun Jan 15 18:28:20 2012","","Night of Terror","TV Movie","Jeannot Szwarc","7.2","73","1972","thriller","107","1972-10-10","http://www.imdb.com/title/tt0069003/"
"113","tt0068708","Sun Jan 15 18:28:32 2012","Sun Jan 15 18:28:32 2012","","Home for the Holidays","TV Movie","John Llewellyn Moxey","7.0","73","1972","drama, horror, mystery, thriller","400","1972-11-28","http://www.imdb.com/title/tt0068708/"
"114","tt0070943","Sun Jan 15 18:28:49 2012","Sun Jan 15 18:28:49 2012","","You'll Never See Me Again","TV Movie","Jeannot Szwarc","7.5","73","1973","mystery","111","1973-02-28","http://www.imdb.com/title/tt0070943/"
"115","tt0070682","Sun Jan 15 18:29:07 2012","Sun Jan 15 18:29:07 2012","","She Cried Murder","TV Movie","Herschel Daugherty","6.0","74","1973","action, thriller","68","1973-09-25","http://www.imdb.com/title/tt0070682/"
"116","tt0071611","Sun Jan 15 18:29:20 2012","Sun Jan 15 18:29:20 2012","","Hitchhike!","TV Movie","Gordon Hessler","6.4","90","1974","thriller","65","1974-02-23","http://www.imdb.com/title/tt0071611/"
"117","tt0067349","Sun Jan 15 18:29:31 2012","Sun Jan 15 18:29:31 2012","","A Little Game","TV Movie","Paul Wendkos","7.2","73","1971","drama, mystery, thriller","58","1971-10-30","http://www.imdb.com/title/tt0067349/"
"118","tt0072857","Sun Jan 15 18:29:41 2012","Sun Jan 15 18:29:41 2012","","Death Scream","TV Movie","Richard T. Heffron","6.6","96","1975","crime, drama","119","1975-09-26","http://www.imdb.com/title/tt0072857/"
"119","tt0076187","Sun Jan 15 18:29:53 2012","Sun Jan 15 18:29:53 2012","","In the Glitter Palace","TV Movie","Robert Butler","5.8","97","1977","crime, drama","42","1977-02-23","http://www.imdb.com/title/tt0076187/"
"120","tt0072817","Sun Jan 15 18:30:11 2012","Sun Jan 15 18:30:11 2012","","Conspiracy of Terror","TV Movie","John Llewellyn Moxey","5.3","78","1975","drama","41","1975-12-29","http://www.imdb.com/title/tt0072817/"
"121","tt0076457","Sun Jan 15 18:30:38 2012","Sun Jan 15 18:30:38 2012","","Night Drive","TV Movie","E.W. Swackhamer","7.0","73","1977","thriller","263","1977-02-07","http://www.imdb.com/title/tt0076457/"
"122","tt0076771","Sun Jan 15 18:30:51 2012","Sun Jan 15 18:30:51 2012","","The Strange Possession of Mrs. Oliver","TV Movie","Gordon Hessler","5.7","78","1977","mystery, thriller","117","1977-02-28","http://www.imdb.com/title/tt0076771/"
