"position","const","created","modified","description","Title","Title type","Directors","ForPeopleNotSheeple rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"485","tt0287496","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Paul Cezanne quote: ""For an Impressionist to paint from nature is not to paint the subject, but to realize sensations.""

Henri Matisse quote: ""Impressionism is the newspaper of the soul.""","The Impressionists","Documentary","Bruce Alfred","","9.0","","2001","documentary","75","2001","http://www.imdb.com/title/tt0287496/"
"486","tt0408412","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","","The Private Life of a Masterpiece","TV Series","Michael Burke, Lucie Donahue","","8.9","50","2001","documentary","151","2001","http://www.imdb.com/title/tt0408412/"
"487","tt0084628","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","T. S. Eliot quote:

""Because I know that time is always time
And place is always and only place
And what is actual is actual only for one time
And only for one place.""","Sans Soleil","Documentary","Chris. Marker","","8.2","100","1983","documentary, drama","6345","1983-02","http://www.imdb.com/title/tt0084628/"
"488","tt1063030","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Dear Africa - by Michael Deo-Anang

Awake, thou sleeping heart!
Awake, and kiss
The love-lorn brow
Of this ebon lass,
Dear Africa.
Whose virgin charms
Ensnare the love-lit hearts
Of venturing youth
From other lands.

Awake, sweet Africa
Demands thy love.
Thou sleeping heart!

When the all-summer sun
Paints the leafy boughs
With golden rays,
Know then, thou sleeping heart,
Dear Africa stands
Knocking at thou door.","Wonders of the African World with Henry Louis Gates Jr.","Mini-Series","Helena Appio, Nicola Colton","","6.7","","1999","documentary","31","1999-10-25","http://www.imdb.com/title/tt1063030/"
"489","tt0062474","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Allan King quotes, from a 'Criterion' interview: ""A lot of cinema verité hinged on the drama that came from the event. You have to find a sufficient tension within a work to sustain the length of what you want to explore. But for me, it's always been about people, my fascination has always been with individual people or individual people within the group - personal actuality drama, if you will.""

""So what do you do for those people? You can try to ensure that they don't get hurt, that they get fed, that they get cared for in various ways. But respect their need for what they want. And don't get into a huge moral fuss about it. It took me years to work through all that. With 'Warrendale', for example, I learned that you could work with kids and help, particularly if they were young and had the flexibility to break through. I think people can work through problems and solve them. Emotional problems particularly. If they want to. But our tenacity is really daunting to overcome. We hold on to our neuroses with great tenacity because they are part of our very identity. The most terrifying thing of all for most people is to lose their identity. It's the hardest, most painful aspect of schizophrenia.""

""I am particularly surprised by my feelings, because I often think that I know them and then I get caught by surprise and am dumbfounded. Actually, I burst into tears very easily. But I also get angry over some things I thought I had full management over. I am always surprised by my feelings - perhaps because for many years I was a very closed person and hid my feelings even from myself.""","Warrendale","Documentary","Allan King","","7.9","100","1967","documentary","335","1967-06-07","http://www.imdb.com/title/tt0062474/"
"490","tt0372083","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Global HIV and AIDS estimates, for 2010. From www.avert.org:

*People living with HIV/AIDS: 34 million.
*Proportion of adults living with HIV/AIDS who were women: 50%.
*Children living with HIV/AIDS: 3.4 million.
*People newly infected with HIV: 2.7 million.
*Children newly infected with HIV: 390,000.
*AIDS deaths: 1.8 million.

""Since the beginning of the epidemic, nearly 30 million people have died from AIDS-related causes.""","Pandemic: Facing AIDS","Mini-Series","Rory Kennedy","","7.8","113","2003","documentary","47","2003-05","http://www.imdb.com/title/tt0372083/"
"491","tt0284203","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Maya Deren quote: ""The task of cinema or any other art form is not to translate hidden messages of the unconscious soul into art but to experiment with the effects contemporary technical devices have on nerves, minds, or souls.""","In the Mirror of Maya Deren","Documentary","Martina Kudlácek","","7.4","103","2002","documentary, biography","253","2002-01-25","http://www.imdb.com/title/tt0284203/"
"492","tt0377171","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Brian Greene quotes: ""Science is the process that takes us from confusion to understanding...""

""The boldness of asking deep questions may require unforeseen flexibility if we are to accept the answers.""

""For string theory to make sense, the universe should have nine spacial dimensions and one time dimension, for a total of ten dimensions.""

""According to inflation, the more than 100 billion galaxies, sparkling throughout space like heavenly diamonds, are nothing but quantum mechanics writ large across the sky. To me, this realization is one of the greatest wonders of the modern scientific age.""","The Elegant Universe","Mini-Series","","","8.4","60","2003","documentary","1828","2003-10-28","http://www.imdb.com/title/tt0377171/"
"493","tt0236785","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","","Taken for a Ride","Documentary","Jim Klein","","8.8","52","1996","documentary","92","1996-08-06","http://www.imdb.com/title/tt0236785/"
"494","tt0064429","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","","High School","Documentary","Frederick Wiseman","","7.7","75","1968","documentary","1062","1968-05","http://www.imdb.com/title/tt0064429/"
"495","tt0117873","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","George Seldes quote: ""A people that wants to be free must arm itself with a free press.""","Tell the Truth and Run: George Seldes and the American Press","Documentary","Rick Goldsmith","","8.4","90","1996","documentary, biography","75","1996-10","http://www.imdb.com/title/tt0117873/"
"496","tt0261024","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Bob Geldof quotes: ""People are dying NOW. Give us the money NOW.""

""No, Prime Minister, nothing is as simple as dying.""

""Mankind at it's most desperate is often at it's best.""","Live Aid","Documentary","Vincent Scarza","","8.6","960","1985","documentary, music","1330","1985-07-13","http://www.imdb.com/title/tt0261024/"
"497","tt0240264","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","","First Person","TV Series","","","8.8","491","2000","documentary, biography","278","2000-02-16","http://www.imdb.com/title/tt0240264/"
"498","tt0078850","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","","Best Boy","Documentary","Ira Wohl","","7.9","111","1979","documentary, biography","463","1979-09-07","http://www.imdb.com/title/tt0078850/"
"499","tt0221300","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Duke Ellington quote: ""Put it this way: Jazz is a good barometer of freedom...In it's beginnings, the United States of America spawned certain ideals of freedom and independence through which, eventually, Jazz was evolved, and the music is so free that many people say it is the only unhampered, unhindered expression of complete freedom yet produced in this country.""","Jazz","Mini-Series","","","8.5","114","2001","documentary, history, music","1272","2001-01-08","http://www.imdb.com/title/tt0221300/"
"500","tt0092999","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Clayborne Carson quote: ""It is the principal film account of the most important American social justice movement of the 20th century.""","Eyes on the Prize","TV Series","Henry Hampton","","9.2","360","1987","documentary, history","379","1987-01-21","http://www.imdb.com/title/tt0092999/"
"501","tt0276918","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","","Do You Believe in Miracles? The Story of the 1980 U.S. Hockey Team","Documentary","","","8.6","60","2001","documentary, history, sport","379","2001-02-05","http://www.imdb.com/title/tt0276918/"
"502","tt0244296","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Roger Waters quotes: ""I think that happiness resides somewhere between the extremes of personal, religious, and political. I think happiness resides where we understand someone else's point of view and needs. Happiness resides where we are not lost in the solitary dream.""

'Comfortably Numb' - 'The Wall' (Pink Floyd, 1979):

""You are only coming through in waves,
Your lips move but I can't hear what you're saying,
When I was a child,
I caught a fleeting glimpse,
Out of the corner of my eye,
I turned to look but it was gone,
I cannot put my finger on it now,
The child has grown,
The dream has gone,
And I have become
Comfortably Numb""","The Wall: Live in Berlin","Documentary","Ken O'Neill, Roger Waters","","8.7","115","1990","documentary, music","1495","1990-07-21","http://www.imdb.com/title/tt0244296/"
"503","tt0381878","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","Tracy Chapman quotes: ""I may be revered or defamed and decried; But I tried to live my life right.""

""At this point in my life I'd like to live as if only love mattered.""","The Paris Concert for Amnesty International","Documentary","","","7.8","","1999","documentary, music","24","1999-04-03","http://www.imdb.com/title/tt0381878/"
"504","tt0206501","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Nova","TV Series","","","8.7","","1974","documentary, biography","1265","1974-03-03","http://www.imdb.com/title/tt0206501/"
"505","tt0297603","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Predators","Mini-Series","","","8.1","","2000","documentary","81","2000","http://www.imdb.com/title/tt0297603/"
"506","tt0283058","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","A Time for Life","Documentary","Lee Stanley","","8.4","","1991","documentary","53","1991","http://www.imdb.com/title/tt0283058/"
"507","tt0162411","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","Isadora Duncan quotes: ""So long as children are allowed to suffer, there is no true love in this world.""

""What one has not experienced, one will never understand in print.""

""Most human beings today waste some 25 to 30 years of their lives before they break through the actual and conventional lies which surround them.""

""The dancer's body is simply the luminous manifestation of the soul.""","Isadora Duncan: Movement from the Soul","Documentary","Daniel Geller, Dayna Goldfine","","6.1","58","1989","documentary","15","1989-02","http://www.imdb.com/title/tt0162411/"
"508","tt0097959","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Near Death","Documentary","Frederick Wiseman","","8.4","358","1989","documentary","124","1989-10-07","http://www.imdb.com/title/tt0097959/"
"509","tt0247628","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Disappearing Oasis, Last Oasis","Documentary","Petar Lalovic","","9.3","91","1983","documentary","134","1983","http://www.imdb.com/title/tt0247628/"
"510","tt0063914","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Phantom India","Mini-Series","Louis Malle","","8.3","378","1969","documentary","302","1969-07-25","http://www.imdb.com/title/tt0063914/"
"511","tt1297450","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Lee Miller: Through the Mirror","Documentary","Sylvain Roumette","","7.1","55","1995","documentary, biography","18","1995","http://www.imdb.com/title/tt1297450/"
"512","tt0411521","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","In Good Conscience: Sister Jeannine Gramick's Journey of Faith","Documentary","Barbara Rick","","8.6","82","2004","documentary","25","2004-06-10","http://www.imdb.com/title/tt0411521/"
"513","tt0303158","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Triumph of the Beasts","Documentary","Kate Bartlett","","8.0","50","2001","animation, documentary","49","2001-11-21","http://www.imdb.com/title/tt0303158/"
"514","tt0209101","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Life Beyond Earth","Documentary","","","7.9","","1998","documentary","62","1998","http://www.imdb.com/title/tt0209101/"
"515","tt0760229","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Ansel Adams: A Documentary Film","Documentary","Ric Burns","","7.7","","2002","documentary","73","2002-04-21","http://www.imdb.com/title/tt0760229/"
"516","tt0396087","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Khachaturian","Documentary","Peter Rosen","","8.5","83","2003","documentary, biography, music","36","2003-10-17","http://www.imdb.com/title/tt0396087/"
"517","tt0268756","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","We Are The World: The Story Behind The Song","Documentary","Tom Trbovich","","8.0","35","1985","documentary, music","445","1985-01-28","http://www.imdb.com/title/tt0268756/"
"518","tt0263238","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Crisis: Behind a Presidential Commitment","Documentary","","","8.0","52","1963","documentary","257","1963-10-21","http://www.imdb.com/title/tt0263238/"
"519","tt0060546","Sun Apr 21 14:35:19 2013","Sun Apr 21 14:35:19 2013","","Isadora Duncan, the Biggest Dancer in the World","Documentary","Ken Russell","","8.0","65","1966","documentary, biography","121","1966","http://www.imdb.com/title/tt0060546/"
"520","tt1692928","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","The Last Lions","Documentary","Dereck Joubert","","8.4","88","2011","documentary, family","3128","2011-01-13","http://www.imdb.com/title/tt1692928/"
"521","tt1680059","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Born to Be Wild","Documentary","David Lickley","","7.6","40","2011","documentary, adventure","2468","2011-04-08","http://www.imdb.com/title/tt1680059/"
"522","tt0765128","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Oceans","Documentary","Jacques Perrin, Jacques Cluzaud","7","7.8","104","2009","documentary, drama","7436","2009-10-17","http://www.imdb.com/title/tt0765128/"
"523","tt0428803","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","March of the Penguins","Documentary","Luc Jacquet","7","7.7","80","2005","documentary","43317","2005-01-21","http://www.imdb.com/title/tt0428803/"
"524","tt1513168","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Through the Wormhole","TV Series","","8","8.8","60","2010","documentary","9648","2010-06-09","http://www.imdb.com/title/tt1513168/"
"525","tt1051155","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","The Universe","TV Series","","8","8.9","45","2007","documentary, history","3875","2007-05-29","http://www.imdb.com/title/tt1051155/"
"526","tt1611787","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Wonders of the Solar System","Mini-Series","","","8.8","60","2010","documentary","3274","2010-03-07","http://www.imdb.com/title/tt1611787/"
"527","tt1854226","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Wonders of the Universe","Mini-Series","","8","8.9","59","2011","documentary","2610","2011-03-06","http://www.imdb.com/title/tt1854226/"
"528","tt1777610","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Flying Monsters 3D with David Attenborough","Documentary","Matthew Dyas","","7.5","40","2011","documentary","495","2011-05-06","http://www.imdb.com/title/tt1777610/"
"529","tt1533395","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Life","Mini-Series","","7","9.1","473","2009","documentary","21145","2009-10-12","http://www.imdb.com/title/tt1533395/"
"530","tt0386032","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Sicko","Documentary","Michael Moore","9","8.1","123","2007","documentary, drama","65059","2007-05-19","http://www.imdb.com/title/tt0386032/"
"531","tt1232207","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Capitalism: A Love Story","Documentary","Michael Moore","8","7.4","127","2009","documentary","33780","2009-09-06","http://www.imdb.com/title/tt1232207/"
"532","tt0310793","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Bowling for Columbine","Documentary","Michael Moore","7","8.0","120","2002","documentary, crime, drama","120237","2002-05-15","http://www.imdb.com/title/tt0310793/"
"533","tt2092588","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Frozen Planet","Mini-Series","","","9.1","60","2011","documentary","8956","2011-10-26","http://www.imdb.com/title/tt2092588/"
"534","tt1442188","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Wild Russia","Mini-Series","Tobias Mennle, Ivo Nörenberg","","8.5","360","2008","documentary","398","2008-12-25","http://www.imdb.com/title/tt1442188/"
"535","tt1014762","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Home","Documentary","Yann Arthus-Bertrand","","8.6","120","2009","documentary, drama, family","18127","2009-06-03","http://www.imdb.com/title/tt1014762/"
"536","tt1313104","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","The Cove","Documentary","Louie Psihoyos","","8.5","92","2009","documentary, crime","39341","2009-04-25","http://www.imdb.com/title/tt1313104/"
"537","tt1145500","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Earth: The Power of the Planet","TV Series","","","8.8","60","2007","documentary","1582","2007-11-20","http://www.imdb.com/title/tt1145500/"
"538","tt0446610","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Auschwitz: The Nazis and the 'Final Solution'","Mini-Series","","","8.7","285","2005","documentary, history, war","2511","2005-01-11","http://www.imdb.com/title/tt0446610/"
"539","tt0296310","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","The Blue Planet","Mini-Series","Alastair Fothergill","8","9.1","50","2001","documentary","10868","2001-09-12","http://www.imdb.com/title/tt0296310/"
"540","tt1806234","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Human Planet","Mini-Series","","","9.2","50","2011","documentary","11024","2011-01-12","http://www.imdb.com/title/tt1806234/"
"541","tt1020938","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Babies","Documentary","Thomas Balmès","","7.0","79","2010","documentary","5791","2010-05-07","http://www.imdb.com/title/tt1020938/"
"542","tt1152822","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Freakonomics","Documentary","Heidi Ewing, Alex Gibney","4","6.4","93","2010","documentary","5563","2010-04-30","http://www.imdb.com/title/tt1152822/"
"543","tt1566648","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Waiting for 'Superman'","Documentary","Davis Guggenheim","","7.5","111","2010","documentary","9602","2010-01-22","http://www.imdb.com/title/tt1566648/"
"544","tt1559549","Sun Apr 21 15:27:24 2013","Sun Apr 21 15:27:24 2013","","Restrepo","Documentary","Tim Hetherington, Sebastian Junger","","7.6","93","2010","documentary, war","16675","2010-01","http://www.imdb.com/title/tt1559549/"
"545","tt0427312","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Grizzly Man","Documentary","Werner Herzog","7","7.8","103","2005","documentary, biography","39320","2005-01-24","http://www.imdb.com/title/tt0427312/"
"546","tt1424432","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Senna","Documentary","Asif Kapadia","","8.6","106","2010","documentary, biography, sport","44188","2010-10-07","http://www.imdb.com/title/tt1424432/"
"547","tt1489097","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","WWII in HD","Mini-Series","","6","8.8","60","2009","documentary, history, war","1314","2009-11-15","http://www.imdb.com/title/tt1489097/"
"548","tt1508238","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Apocalypse: The Second World War","Mini-Series","","","9.1","312","2009","documentary, war","3491","2009-09-08","http://www.imdb.com/title/tt1508238/"
"549","tt0426688","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","The First World War","Mini-Series","","","8.7","500","2003","documentary, history, war","786","2003-09-20","http://www.imdb.com/title/tt0426688/"
"550","tt0788622","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Horizon: Einstein's Unfinished Symphony","TV Episode","Nick Green","","8.2","","1964","documentary","46","2005-01-20","http://www.imdb.com/title/tt0788622/"
"551","tt2022854","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Horizon: Do You See What I See?","TV Episode","Sophie Robinson","","8.0","","1964","documentary","22","2011-08-08","http://www.imdb.com/title/tt2022854/"
"552","tt1880570","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Horizon: Japan Earthquake: A Horizon Special","TV Episode","Ben Lawrie, Tristan Quinn","","7.5","","1964","documentary","8","2011-03-27","http://www.imdb.com/title/tt1880570/"
"553","tt1781069","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Zeitgeist: Moving Forward","Documentary","Peter Joseph","6","8.3","161","2011","documentary","14945","2011-01-15","http://www.imdb.com/title/tt1781069/"
"554","tt1631618","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Nova: Hunting the Edge of Space: The Mystery of the Milky Way","TV Episode","Peter Jones, Oliver Twinch","","8.1","52","1974","documentary, biography","41","2010-04-06","http://www.imdb.com/title/tt1631618/"
"555","tt1587707","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Exit Through the Gift Shop","Documentary","Banksy","","8.0","87","2010","documentary, comedy","48829","2010-01-24","http://www.imdb.com/title/tt1587707/"
"556","tt1411470","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Nature: Victoria Falls","TV Episode","","","7.6","","1982","documentary, family","17","2009-05-17","http://www.imdb.com/title/tt1411470/"
"557","tt0393597","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Earth","Documentary","Alastair Fothergill, Mark Linfield","","8.0","90","2007","documentary","12735","2007-07-14","http://www.imdb.com/title/tt0393597/"
"558","tt1591535","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","How the Earth Was Made","TV Series","","","8.0","45","2009","documentary, history","434","2009-02-10","http://www.imdb.com/title/tt1591535/"
"559","tt1387875","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Horizon: Cannabis: The Evil Weed?","TV Episode","Annabel Gillings","","7.1","","1964","documentary","57","2009-02-03","http://www.imdb.com/title/tt1387875/"
"560","tt1417717","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Horizon: The Secret Life of Your Body Clock","TV Episode","Alicky Sussman","","7.7","","1964","documentary","22","2009-02-24","http://www.imdb.com/title/tt1417717/"
"561","tt1394712","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Horizon: What's the Problem with Nudity?","TV Episode","Paul King","","6.7","","1964","documentary","24","2009-03-03","http://www.imdb.com/title/tt1394712/"
"562","tt1333888","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Nova: The Incredible Journey of the Butterflies","TV Episode","Nick de Pencier","","7.9","55","1974","documentary, biography","51","2009-01-27","http://www.imdb.com/title/tt1333888/"
"563","tt1387876","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Horizon: Why Are Thin People Not Fat?","TV Episode","Emma Sutton","","7.2","","1964","documentary","37","2009-01-26","http://www.imdb.com/title/tt1387876/"
"564","tt1363109","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Journey to the Edge of the Universe","Documentary","Yavar Abbas","8","8.6","91","2008","documentary","2409","2008-12-07","http://www.imdb.com/title/tt1363109/"
"565","tt0815241","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Religulous","Documentary","Larry Charles","4","7.7","101","2008","documentary, comedy, war","51085","2008-08-01","http://www.imdb.com/title/tt0815241/"
"566","tt1197836","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Horizon: Is Alcohol Worse Than Ecstasy?","TV Episode","Sophie Robinson","","7.7","44","1964","documentary","35","2008-02-05","http://www.imdb.com/title/tt1197836/"
"567","tt1228320","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Horizon: What on Earth Is Wrong with Gravity?","TV Episode","Paul Olding","","7.7","44","1964","documentary","64","2008-01-29","http://www.imdb.com/title/tt1228320/"
"568","tt1157705","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Roman Polanski: Wanted and Desired","Documentary","Marina Zenovich","","7.3","99","2008","documentary, crime","4128","2008-01-18","http://www.imdb.com/title/tt1157705/"
"569","tt0497116","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","An Inconvenient Truth","Documentary","Davis Guggenheim","5","7.5","96","2006","documentary","65154","2006-01-24","http://www.imdb.com/title/tt0497116/"
"570","tt1558250","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","GasLand","Documentary","Josh Fox","6","7.7","107","2010","documentary","9183","2010-01-24","http://www.imdb.com/title/tt1558250/"
"571","tt1477715","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","This Is It","Documentary","Kenny Ortega","","7.3","111","2009","documentary, music","32598","2009-10-28","http://www.imdb.com/title/tt1477715/"
"572","tt1286537","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Food, Inc.","Documentary","Robert Kenner","6","7.9","94","2008","documentary","40931","2008-09-07","http://www.imdb.com/title/tt1286537/"
"573","tt1155592","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Man on Wire","Documentary","James Marsh","","7.9","94","2008","documentary, biography, crime, history, thriller","38076","2008-01-22","http://www.imdb.com/title/tt1155592/"
"574","tt0912593","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","No End in Sight","Documentary","Charles Ferguson","7","8.3","102","2007","documentary, war","7190","2007-01-22","http://www.imdb.com/title/tt0912593/"
"575","tt0486358","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Jesus Camp","Documentary","Heidi Ewing, Rachel Grady","","7.5","84","2006","documentary","21062","2006-09-15","http://www.imdb.com/title/tt0486358/"
"576","tt0493459","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","This Film Is Not Yet Rated","Documentary","Kirby Dick","","7.5","98","2006","documentary","24799","2006-01-25","http://www.imdb.com/title/tt0493459/"
"577","tt0486585","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Fuck","Documentary","Steve Anderson","","7.1","93","2005","documentary","3987","2005-11-07","http://www.imdb.com/title/tt0486585/"
"578","tt0436613","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Murderball","Documentary","Henry Alex Rubin, Dana Adam Shapiro","","7.8","88","2005","documentary, sport","8914","2005-01-23","http://www.imdb.com/title/tt0436613/"
"579","tt1151309","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Bigger Stronger Faster*","Documentary","Chris Bell","","7.6","105","2008","documentary, sport","11179","2008-01-19","http://www.imdb.com/title/tt1151309/"
"580","tt1032821","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Tyson","Documentary","James Toback","","7.6","90","2008","documentary, sport","10564","2008-05","http://www.imdb.com/title/tt1032821/"
"581","tt0923752","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","The King of Kong: A Fistful of Quarters","Documentary","Seth Gordon","","8.2","79","2007","documentary, biography, sport","29862","2007-04-21","http://www.imdb.com/title/tt0923752/"
"582","tt0118147","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","When We Were Kings","Documentary","Leon Gast","8","8.0","88","1996","documentary, history, sport","11856","1996-01","http://www.imdb.com/title/tt0118147/"
"583","tt0275309","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Dogtown and Z-Boys","Documentary","Stacy Peralta","7","7.7","91","2001","documentary, sport","10126","2001-01-19","http://www.imdb.com/title/tt0275309/"
"584","tt0076578","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Pumping Iron","Documentary","George Butler, Robert Fiore","","7.5","85","1977","documentary, sport","14736","1977-01-18","http://www.imdb.com/title/tt0076578/"
"585","tt0379225","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","The Corporation","Documentary","Mark Achbar, Jennifer Abbott","7","8.2","145","2003","documentary, history","17604","2003-09-10","http://www.imdb.com/title/tt0379225/"
"586","tt0762111","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Jonestown: The Life and Death of Peoples Temple","Documentary","Stanley Nelson","6","7.9","86","2006","documentary, history","3649","2006-04-25","http://www.imdb.com/title/tt0762111/"
"587","tt1664894","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","Cave of Forgotten Dreams","Documentary","Werner Herzog","","7.4","90","2010","documentary, history","10707","2010-09-10","http://www.imdb.com/title/tt1664894/"
