"position","const","created","modified","description","Title","Title type","Directors","ForPeopleNotSheeple rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"189","tt0436295","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","The Fall of Fujimori","Documentary","Ellen Perry","7","7.4","83","2005","documentary","252","2005-01","http://www.imdb.com/title/tt0436295/"
"190","tt1193626","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Murder by Proxy: How America Went Postal","Documentary","Emil Chiaberi","7","6.7","","2010","documentary","150","2010","http://www.imdb.com/title/tt1193626/"
"191","tt1600841","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Please Remove Your Shoes","Documentary","Rob DelGaudio","7","6.5","89","2010","documentary, biography, history, news","147","2010-07-01","http://www.imdb.com/title/tt1600841/"
"192","tt0979263","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","The Trap: What Happened to Our Dream of Freedom","Mini-Series","Adam Curtis","9","8.8","180","2007","documentary","1114","2007-03-11","http://www.imdb.com/title/tt0979263/"
"193","tt0392433","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Medici: Godfathers of the Renaissance","TV Series","","7","8.2","220","2004","documentary, biography, history","289","2004-02-04","http://www.imdb.com/title/tt0392433/"
"194","tt1561406","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Chosin","Documentary","Brian Iglesias","8","8.3","86","2010","documentary, history, war","181","2010-09-10","http://www.imdb.com/title/tt1561406/"
"195","tt1806688","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","The Pyramid Code","TV Series","","8","7.2","45","2009","documentary","258","2009-01-01","http://www.imdb.com/title/tt1806688/"
"196","tt1505145","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","The War on Kids","Documentary","Cevin Soling","9","7.9","95","2009","documentary","185","2009-06-01","http://www.imdb.com/title/tt1505145/"
"197","tt1780179","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Horizon: Deepwater Disaster: The Untold Story","TV Episode","Tristan Quinn","8","6.5","","1964","documentary","8","2010-11-16","http://www.imdb.com/title/tt1780179/"
"198","tt2331400","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Khéops révélée","Documentary","Florence Tran","9","6.8","52","2008","documentary","12","2008","http://www.imdb.com/title/tt2331400/"
"199","tt0318224","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Horizon","TV Series","","9","8.8","50","1964","documentary","676","1964-05-02","http://www.imdb.com/title/tt0318224/"
"201","tt0421157","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Battlefield Britain","Mini-Series","Mary Cranitch","7","8.2","60","2004","documentary, history, war","119","2004-08-06","http://www.imdb.com/title/tt0421157/"
"202","tt0416043","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","The World According to Bush","Documentary","William Karel","7","8.0","90","2004","documentary, war","655","2004-05-27","http://www.imdb.com/title/tt0416043/"
"203","tt0899221","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Sherman's March","Documentary","Rick King","8","7.5","","2007","documentary, history, war","123","2007-04-22","http://www.imdb.com/title/tt0899221/"
"204","tt0255264","Sun Apr 14 11:30:52 2013","Sun Apr 14 11:30:52 2013","","Israel: Birth of a Nation","Documentary","","7","5.6","100","1996","documentary, history, war","84","1996","http://www.imdb.com/title/tt0255264/"
"205","tt0111931","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Crusades","TV Series","Alan Ereira, David Wallace","8","8.3","200","1995","documentary, history, war","392","1995-01-10","http://www.imdb.com/title/tt0111931/"
"206","tt1396557","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Winnebago Man","Documentary","Ben Steinbauer","6","7.2","85","2009","documentary, biography, comedy","3922","2009-03-14","http://www.imdb.com/title/tt1396557/"
"207","tt0065702","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Chariots of the Gods","Documentary","Dr. Harald Reinl","6","6.3","92","1970","documentary","984","1970-04-26","http://www.imdb.com/title/tt0065702/"
"208","tt0092948","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Eddie Murphy: Raw","Documentary","Robert Townsend","6","7.6","93","1987","documentary, comedy","14673","1987-11-25","http://www.imdb.com/title/tt0092948/"
"209","tt0104504","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Incident at Oglala","Documentary","Michael Apted","6","7.6","89","1992","documentary, history","884","1992-05-08","http://www.imdb.com/title/tt0104504/"
"210","tt1034360","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Ancient Discoveries","TV Series","","6","7.8","60","2003","documentary, history","192","2003-12-21","http://www.imdb.com/title/tt1034360/"
"211","tt0848954","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Engineering an Empire","TV Series","","6","8.2","","2006","documentary, history","404","2006-10-16","http://www.imdb.com/title/tt0848954/"
"212","tt1311717","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Superpower","Documentary","Barbara-Anne Steegmuller","6","7.2","119","2008","documentary, history, war","305","2008-08-28","http://www.imdb.com/title/tt1311717/"
"213","tt1498094","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","The Nostradamus Effect","TV Series","","6","5.4","60","2009","documentary, history","136","2009-09-09","http://www.imdb.com/title/tt1498094/"
"214","tt1410718","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Lock 'N Load with R. Lee Ermey","TV Series","","6","8.6","60","2009","documentary, history, war","392","2009-06-25","http://www.imdb.com/title/tt1410718/"
"215","tt0979872","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Decoding the Past: Doomsday 2012 - The End of Days","Documentary","","6","6.4","","2007","documentary, history, sci_fi","154","2007","http://www.imdb.com/title/tt0979872/"
"216","tt1643266","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Ancient Aliens","TV Series","","6","7.4","90","2009","documentary, history, sci_fi","5903","2009","http://www.imdb.com/title/tt1643266/"
"217","tt1189345","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","The World According to Monsanto","Documentary","Marie-Monique Robin","8","8.2","108","2008","documentary","1368","2008-02-17","http://www.imdb.com/title/tt1189345/"
"218","tt1900958","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Psywar","Documentary","Scott Noble","7","8.3","99","2010","documentary","128","2010-10-01","http://www.imdb.com/title/tt1900958/"
"219","tt0114512","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","Spin","Documentary","Brian Springer","6","7.8","57","1995","documentary","374","1995-10-06","http://www.imdb.com/title/tt0114512/"
"220","tt0972369","Sun Apr 14 11:30:53 2013","Sun Apr 14 11:30:53 2013","","The Dark Ages","Documentary","Christopher Cassel","8","7.2","120","2007","documentary, drama, history","271","2007-03-04","http://www.imdb.com/title/tt0972369/"
"221","tt1972646","Sun Apr 14 12:05:55 2013","Sun Apr 14 12:05:55 2013","","Eames: The Architect & The Painter","Documentary","Jason Cohn, Bill Jersey","","7.2","85","2011","documentary, biography","678","2011-11-11","http://www.imdb.com/title/tt1972646/"
"222","tt1568335","Sun Apr 14 12:05:55 2013","Sun Apr 14 12:05:55 2013","","Jean-Michel Basquiat: The Radiant Child","Documentary","Tamra Davis","","7.9","88","2010","documentary","1271","2010-01-25","http://www.imdb.com/title/tt1568335/"
"223","tt0382744","Sun Apr 14 12:05:55 2013","Sun Apr 14 12:05:55 2013","","Horatio's Drive: America's First Road Trip","Documentary","Ken Burns","7","8.1","107","2003","documentary, adventure, history","306","2003-10-06","http://www.imdb.com/title/tt0382744/"
"224","tt1930344","Sun Apr 14 12:05:55 2013","Sun Apr 14 12:05:55 2013","","Give Me the Banjo","Documentary","Marc Fields","","7.0","90","2011","documentary","67","2011-11-04","http://www.imdb.com/title/tt1930344/"
"225","tt0421092","Sun Apr 14 13:05:18 2013","Sun Apr 14 13:05:18 2013","","BattleField Detectives","TV Series","David Wright, Bob Bentley","8","7.7","","2003","documentary, history, war","77","2003-08-06","http://www.imdb.com/title/tt0421092/"
"226","tt0791307","Sun Apr 14 15:23:43 2013","Sun Apr 14 15:23:43 2013","","The Gospel of Judas","Documentary","James Barrat","8","6.8","120","2006","documentary","206","2006-04-09","http://www.imdb.com/title/tt0791307/"
"227","tt0150463","Sun Apr 14 15:28:39 2013","Sun Apr 14 15:28:39 2013","","Empires of Industry","TV Series","","7","5.8","","1997","","12","1997","http://www.imdb.com/title/tt0150463/"
"228","tt0316293","Sun Apr 14 15:31:32 2013","Sun Apr 14 15:31:32 2013","","Mystery of the Sphinx","Documentary","Bill Cote","7","4.6","","1993","documentary","225","1993-11-10","http://www.imdb.com/title/tt0316293/"
"229","tt0854558","Sun Apr 14 15:32:53 2013","Sun Apr 14 15:32:53 2013","","Modern Marvels: Mount Rushmore","TV Episode","Jeff Scheftel","8","7.2","44","1993","documentary, history","33","1996-02-11","http://www.imdb.com/title/tt0854558/"
"230","tt0819791","Sun Apr 14 15:36:25 2013","Sun Apr 14 15:36:25 2013","","The One Percent","Documentary","Jamie Johnson","7","7.0","","2006","documentary","809","2006-04-29","http://www.imdb.com/title/tt0819791/"
"231","tt1358315","Sun Apr 14 19:24:38 2013","Sun Apr 14 19:24:38 2013","","Frontline: Ten Trillion and Counting","TV Episode","","8","7.6","56","1983","documentary","37","2009-03-25","http://www.imdb.com/title/tt1358315/"
