"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
6628,"tt0103141","Mon Apr 22 18:43:42 2013","Mon Apr 22 18:43:42 2013","","Turtle Beach","Feature Film","Stephen Wallace",NA,4.7,90,"1992","drama, thriller",201,"1992-03-19","http://www.imdb.com/title/tt0103141/","0103141"
8541,"tt0085679","Mon Apr 29 19:23:23 2013","Mon Apr 29 19:23:23 2013","","High School U.S.A.","TV Movie","Rod Amateau",NA,5.6,96,"1983","comedy",781,"1983-10-16","http://www.imdb.com/title/tt0085679/","0085679"
5211,"tt0080472","Mon Apr 22 18:39:50 2013","Mon Apr 22 18:39:50 2013","","Bronco Billy","Feature Film","Clint Eastwood",4,6,116,"1980","action, adventure, comedy, drama, romance, western",7866,"1980-06-11","http://www.imdb.com/title/tt0080472/","0080472"
3053,"tt2326612","Mon Apr 22 18:33:24 2013","Mon Apr 22 18:33:24 2013","","The Captive","Feature Film","Atom Egoyan",NA,5.9,112,"2014","crime, drama, mystery, thriller",14937,"2014-05-16","http://www.imdb.com/title/tt2326612/","2326612"
5757,"tt0070030","Mon Apr 22 18:41:19 2013","Mon Apr 22 18:41:19 2013","","Emperor of the North","Feature Film","Robert Aldrich",NA,7.4,118,"1973","action, adventure, drama, thriller",3978,"1973-05-23","http://www.imdb.com/title/tt0070030/","0070030"
8389,"tt0107096","Mon Apr 29 18:16:33 2013","Mon Apr 29 18:16:33 2013","","Heaven & Earth","Feature Film","Oliver Stone",NA,6.8,140,"1993","action, biography, drama, history, war",10318,"1993-12-25","http://www.imdb.com/title/tt0107096/","0107096"
3707,"tt0110099","Mon Apr 22 18:35:47 2013","Mon Apr 22 18:35:47 2013","","I.Q.","Feature Film","Fred Schepisi",NA,6.2,100,"1994","comedy, romance",19233,"1994-12-25","http://www.imdb.com/title/tt0110099/","0110099"
6881,"tt0101272","Thu Apr 25 02:59:02 2013","Thu Apr 25 02:59:02 2013","","The Addams Family","Feature Film","Barry Sonnenfeld",4,6.8,99,"1991","comedy, fantasy",90814,"1991-11-22","http://www.imdb.com/title/tt0101272/","0101272"
2171,"tt1640484","Mon Apr 22 18:29:58 2013","Mon Apr 22 18:29:58 2013","","Jumping the Broom","Feature Film","Salim Akil",NA,5.6,112,"2011","comedy, drama",7654,"2011-05-06","http://www.imdb.com/title/tt1640484/","1640484"
3899,"tt0113303","Mon Apr 22 18:36:18 2013","Mon Apr 22 18:36:18 2013","","Hideaway","Feature Film","Brett Leonard",NA,5.3,106,"1995","fantasy, horror, thriller",4964,"1995-03-03","http://www.imdb.com/title/tt0113303/","0113303"
3070,"tt0086361","Mon Apr 22 18:33:49 2013","Mon Apr 22 18:33:49 2013","","Staying Alive","Feature Film","Sylvester Stallone",NA,4.4,93,"1983","drama, music, romance",10688,"1983-07-11","http://www.imdb.com/title/tt0086361/","0086361"
9339,"tt0095297","Mon Apr 29 19:24:54 2013","Mon Apr 29 19:24:54 2013","","The Heroes","TV Movie","Donald Crombie",NA,7.8,208,"1988","drama, war",124,"1988","http://www.imdb.com/title/tt0095297/","0095297"
5770,"tt0074147","Mon Apr 22 18:41:19 2013","Mon Apr 22 18:41:19 2013","","Face to Face","Feature Film","Ingmar Bergman",NA,7.7,114,"1976","drama, fantasy",3206,"1976-04-05","http://www.imdb.com/title/tt0074147/","0074147"
5977,"tt0092798","Mon Apr 22 18:41:46 2013","Mon Apr 22 18:41:46 2013","","Critical Condition","Feature Film","Michael Apted",NA,5.1,100,"1987","comedy",2070,"1987-01-16","http://www.imdb.com/title/tt0092798/","0092798"
7044,"tt0119925","Thu Apr 25 02:59:04 2013","Thu Apr 25 02:59:04 2013","","The Postman","Feature Film","Kevin Costner",8,5.9,177,"1997","action, adventure, drama, sci_fi",53562,"1997-12-12","http://www.imdb.com/title/tt0119925/","0119925"
2620,"tt0443456","Mon Apr 22 18:31:22 2013","Mon Apr 22 18:31:22 2013","","Breaking and Entering","Feature Film","Anthony Minghella",NA,6.6,120,"2006","drama, romance",19534,"2006-09-13","http://www.imdb.com/title/tt0443456/","0443456"
2031,"tt0896534","Mon Apr 22 18:29:33 2013","Mon Apr 22 18:29:33 2013","","Deadgirl","Feature Film","Marcel Sarmiento, Gadi Harel",NA,5.7,101,"2008","horror, romance, thriller",14672,"2008-09-06","http://www.imdb.com/title/tt0896534/","0896534"
8310,"tt0118840","Mon Apr 29 18:16:32 2013","Mon Apr 29 18:16:32 2013","","The Manson Family","Feature Film","Jim Van Bebber",NA,5.5,95,"2003","crime, drama, history, horror, thriller",2600,"1997-07","http://www.imdb.com/title/tt0118840/","0118840"
9828,"tt2028582","Thu Feb 12 09:05:49 2015","Thu Feb 12 09:05:49 2015","","The Wild Bunch","Feature Film","",NA,NA,NA,"????","western",NA,"","http://www.imdb.com/title/tt2028582/","2028582"
1086,"tt0112642","Mon Apr 22 18:27:27 2013","Mon Apr 22 18:27:27 2013","","Casper","Feature Film","Brad Silberling",NA,6,100,"1995","comedy, family, fantasy",79496,"1995-05-26","http://www.imdb.com/title/tt0112642/","0112642"
3863,"tt0094025","Mon Apr 22 18:36:17 2013","Mon Apr 22 18:36:17 2013","","Stakeout","Feature Film","John Badham",6,6.6,117,"1987","comedy, thriller",18058,"1987-08-05","http://www.imdb.com/title/tt0094025/","0094025"
6431,"tt0070061","Mon Apr 22 18:43:09 2013","Mon Apr 22 18:43:09 2013","","Love and Anarchy","Feature Film","Lina Wertmüller",NA,8,124,"1973","comedy, drama, romance",1301,"1973-02-23","http://www.imdb.com/title/tt0070061/","0070061"
