"title_imdb","title_type_imdb","directors_imdb","imdb_rating_imdb","runtime_imdb","year_imdb","num_votes_imdb","rel_date_imdb","url_imdb","id_imdb","title_rt","year_rt","genre_rt","mpaa_rating_rt","runtime_rt","the_rel_date_rt","dvd_rel_date_rt","critics_score_rt","critics_rating_rt","audience_score_rt","audience_rating_rt","actor1_rt","actor2_rt","actor3_rt","actor4_rt","actor5_rt","director_rt","studio_rt","url_rt"
"Zeitgeist: Addendum","Documentary","Peter Joseph",8.4,123,"2008",14692,"2008-10-02","http://www.imdb.com/title/tt1332128/","1332128","Zeitgeist: Addendum","2008","Documentary","Unrated","120","2008-10-02","2012-08-21",-1,NA,85,"Upright","Jiddu Krishnamurti","Jacques Fresco","Roxanne Meadows","Ron Paul (II)","John Perkins","Peter Joseph","Gentle Machine Productions","//www.rottentomatoes.com/m/zeitgeist-addendum/"
"Kicking It","Documentary","Susan Koch, Jeff Werner",7.4,98,"2008",325,"2008-01-19","http://www.imdb.com/title/tt1157668/","1157668","Kicking It","2008","Documentary","Unrated","98","2008-06-13","2008-09-09",53,"Rotten",71,"Upright","Colin Farrell","Brandon Francis",NA,NA,NA,"Jeff Werner","Liberation Entertainment","//www.rottentomatoes.com/m/kicking_it/"
"Vampire Hunter D: Bloodlust","Feature Film","Yoshiaki Kawajiri",7.8,103,"2000",22245,"2000-07","http://www.imdb.com/title/tt0216651/","0216651","Vampire Hunter D: Bloodlust","2001","Action & Adventure","R","103","2001-09-21","2002-02-12",72,"Fresh",86,"Upright","Wendee Lee","Andrew Philpot","Pamela Segall","Toshihiko Seki","Megumi Hayashibara","Yoshiaki Kawajiri","Urban Vision Entertainment","//www.rottentomatoes.com/m/vampire_hunter_d_bloodlust/"
"Bounce","Feature Film","Don Roos",5.7,106,"2000",17133,"2000-11-17","http://www.imdb.com/title/tt0186894/","0186894","Bounce","2000","Drama","PG-13","106","2000-11-17","2001-04-10",52,"Rotten",33,"Spilled","Ben Affleck","Gwyneth Paltrow","Tony Goldwyn","Alex D. Linz","David Dorfman","Don Roos","Miramax Films","//www.rottentomatoes.com/m/bounce/"
"A Mighty Heart","Feature Film","Michael Winterbottom",6.7,108,"2007",23821,"2007-05-21","http://www.imdb.com/title/tt0829459/","0829459","A Mighty Heart","2007","Drama","R","107","2007-06-22","2007-10-16",79,"Certified Fresh",70,"Upright","Angelina Jolie","Dan Futterman","Archie Panjabi","Irfan Khan","Will Patton","Michael Winterbottom","Paramount Vantage","//www.rottentomatoes.com/m/mighty_heart/"
"Santa Sangre","Feature Film","Alejandro Jodorowsky",7.7,123,"1989",13285,"1989-05","http://www.imdb.com/title/tt0098253/","0098253","Santa Sangre","1990","Drama","R","123","1990-06-01","1991-03-28",85,"Fresh",87,"Upright","Sergio Bustamante","Adan Jodorowsky","Jesus Juarez","Axel Jodorowsky","Guy Stockwell","Alejandro Jodorowsky","Republic Pictures Home Video","//www.rottentomatoes.com/m/santa_sangre/"
"Resident Evil","Feature Film","Paul W.S. Anderson",6.7,100,"2002",192052,"2002-03-12","http://www.imdb.com/title/tt0120804/","0120804","Resident Evil","2002","Action & Adventure","R","100","2002-03-15","2002-07-30",33,"Rotten",68,"Upright","Milla Jovovich","Michelle Rodriguez","Eric Mabius","James Purefoy","Martin Crewes","Paul W.S. Anderson","Columbia Tristar Pictures","//www.rottentomatoes.com/m/resident_evil/"
"Top Gun","Feature Film","Tony Scott",6.9,110,"1986",211129,"1986-05-12","http://www.imdb.com/title/tt0092099/","0092099","Top Gun","1986","Drama","PG","110","1986-05-16","1998-10-20",54,"Rotten",83,"Upright","Tom Cruise","Kelly McGillis","Anthony Edwards","Val Kilmer","Tom Skerritt","Tony Scott","Paramount Pictures","//www.rottentomatoes.com/m/top_gun/"
"25th Hour","Feature Film","Spike Lee",7.7,135,"2002",146518,"2002-12-16","http://www.imdb.com/title/tt0307901/","0307901","25th Hour","2003","Drama","R","134","2003-01-10","2003-05-20",78,"Certified Fresh",85,"Upright","Edward Norton","Barry Pepper","Philip Seymour Hoffman","Rosario Dawson","Anna Paquin","Spike Lee","Touchstone Pictures","//www.rottentomatoes.com/m/25th_hour/"
"The Bad News Bears in Breaking Training","Feature Film","Michael Pressman",5.4,100,"1977",2239,"1977-07-08","http://www.imdb.com/title/tt0075718/","0075718","The Bad News Bears in Breaking Training","1977","Comedy","PG","99","1977-07-08","2002-02-12",50,"Rotten",39,"Spilled","William Devane","Jackie Earle Haley","Clifton James","Jimmy Baio","Chris Barnes","Michael Pressman","Paramount Pictures","//www.rottentomatoes.com/m/bad_news_bears_in_breaking_training/"
