"title","title_type","directors","imdb_rating","runtime","year","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"Kung Pow: Enter the Fist","Feature Film","Steve Oedekerk",6.2,81,"2002",36310,"2002-01-25","http://www.imdb.com/title/tt0240468/","0240468","Kung Pow! Enter the Fist",2002,"Action & Adventure","PG-13","81","Rotten",11,"Upright",68,"Steve Oedekerk","Fei Lung","Lung Fai","Jennifer Tung","Leo Lee","Steve Oedekerk","20th Century Fox","http://www.rottentomatoes.com/m/kung_pow/"
"Under African Skies","Documentary","Joe Berlinger",7.7,108,"2012",364,"2012-01-22","http://www.imdb.com/title/tt2112868/","2112868","Under African Skies",2012,"Musical & Performing Arts","Unrated","102","Fresh",100,"Upright",92,"Paul Simon","Hugh Masekela","Ray Phiri","Miriam Makeba","Okyerema Asante","Joe Berlinger","IFC Films","http://www.rottentomatoes.com/m/under_african_skies/"
"Wild at Heart","Feature Film","David Lynch",7.3,125,"1990",57776,"1990-05","http://www.imdb.com/title/tt0100935/","0100935","Wild At Heart",1990,"Drama","R","125","Fresh",65,"Upright",81,"Nicolas Cage","Laura Dern","Willem Dafoe","Diane Ladd","J.E. Freeman","David Lynch","Media Home Entertainment","http://www.rottentomatoes.com/m/wild_at_heart/"
"The Hangover Part II","Feature Film","Todd Phillips",6.5,102,"2011",351233,"2011-05-19","http://www.imdb.com/title/tt1411697/","1411697","The Hangover Part II",2011,"Comedy","R","102","Rotten",34,"Spilled",52,"Bradley Cooper","Ed Helms","Zach Galifianakis","Justin Bartha","Ken Jeong","Todd Phillips","Warner Bros. Pictures","http://www.rottentomatoes.com/m/the_hangover_2/"
"Protocol","Feature Film","Herbert Ross",5.4,96,"1984",3317,"1984-12-21","http://www.imdb.com/title/tt0087951/","0087951","Protocol",1984,"Comedy","PG","96","Rotten",14,"Spilled",38,"Goldie Hawn","Chris Sarandon","Richard Romanus","Andre Gregory","Gail Strickland","Herbert Ross","Warner Home Video","http://www.rottentomatoes.com/m/protocol/"
"Corrina, Corrina","Feature Film","Jessie Nelson",6.5,115,"1994",9530,"1994-08-12","http://www.imdb.com/title/tt0109484/","0109484","Corrina, Corrina",1994,"Drama","PG","111","Rotten",35,"Upright",69,"Whoopi Goldberg","Ray Liotta","Tina Majorino","Wendy Crewson","John Cusack","Jessie Nelson","Turner Home Entertainment","http://www.rottentomatoes.com/m/corrina_corrina/"
"No Small Affair","Feature Film","Jerry Schatzberg",5.5,102,"1984",1432,"1984-11-09","http://www.imdb.com/title/tt0087810/","0087810","No Small Affair",1984,"Comedy","PG","102","Fresh",67,"Spilled",33,"Jon Cryer","Demi Moore","George Wendt","Peter Frechette","Elizabeth Daily","Jerry Schatzberg","Sony Pictures Home Entertainment","http://www.rottentomatoes.com/m/no_small_affair/"
"Man on Wire","Documentary","James Marsh",7.9,94,"2008",35989,"2008-01-22","http://www.imdb.com/title/tt1155592/","1155592","Man on Wire",2008,"Documentary","PG-13","94","Certified Fresh",100,"Upright",87,"Philippe Petit","Alan Welner","Annie Allix","Jim Moore","Jean Francois Heckel","James Marsh","Magnolia Pictures","http://www.rottentomatoes.com/m/man_on_wire/"
"The Girl Next Door","Feature Film","Gregory M. Wilson",6.7,91,"2007",17215,"2007-07-19","http://www.imdb.com/title/tt0830558/","0830558","Jack Ketchum's The Girl Next Door",2007,"Drama","R","91","Fresh",67,"Upright",62,"Blanche Baker","Blythe Auffarth","Daniel Manche","Grant Show","Graham Patrick Martin","Gregory Wilson","Moderncine","http://www.rottentomatoes.com/m/jack_ketchums_the_girl_next_door/"
"Malcolm X","Feature Film","Spike Lee",7.7,202,"1992",60273,"1992-11-18","http://www.imdb.com/title/tt0104797/","0104797","Malcolm X",1992,"Drama","PG-13","201","Certified Fresh",91,"Upright",91,"Denzel Washington","Angela Bassett","Al Freeman Jr.","Delroy Lindo","Albert Hall","Spike Lee","Warner Bros.","http://www.rottentomatoes.com/m/1042135-malcolm_x/"
"Margaret","Feature Film","Kenneth Lonergan",6.5,150,"2011",11460,"2011-09-30","http://www.imdb.com/title/tt0466893/","0466893","Margaret",2011,"Drama","R","149","Certified Fresh",74,"Spilled",48,"Anna Paquin","Matt Damon","Mark Ruffalo","Matthew Broderick","Jean Reno","Kenneth Lonergan","Fox Searchlight","http://www.rottentomatoes.com/m/margaret_2010/"
